Aesop's Fables (Wordsworth Children's Classics) (Wordsworth Collection),,Aesop,,,Wordsworth Editions Ltd,1998,9781853261282,Fables; Fables,,,,,,,AesopsFablesWordsworthChi228_f.jpg
Felicity's Cookbook: A Peek At Dining In The Past With Meals You Can Cook Today (American Girls Pastimes),,Polly Athan,,,Pleasant Company Publications,1994,9781562471200,Cookery; Cookery,,,,,,,FelicitysCookbookAPeekAt178_f.jpg
Grimm's Fairy Tales (Wordsworth's Children's Classics),,Jacob Grimm,,,Wordsworth Editions Ltd,1993,9781853261015,Children's Stories,,,,,,,GrimmsFairyTalesWordswort196_f.jpg
Why Is Mummy's Tummy So Big,,Mary Atkinson,,,Dorling Kindersley,1997,,,,,,,,,
The Stone,,Dianne Hofmeyr; Jude Daly; Marco Polo,,,Frances Lincoln,1999,,,,,,,,,
